会社ID,会社名,地域,都道府県,本社所在地,営業エリア,戸建て取扱,収益不動産取扱,その他取扱物件,問い合わせフォーム,公式URL,問い合わせURL,サービスURL,電話番号,特徴・強み,根拠URL,確認日,確認状態,優先度,備考,事業者区分,公開メールアドレス,公式サイト確信度,公式サイトスコア,物上げ適性スコア,物上げ適性シグナル
RE-MLIT-34-00000279,まるべに不動産株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000279号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000306,大蔵商事株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000306号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000144,広商事株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000144号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000499,広島総合開発株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000499号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000073,新日本住建株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000073号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000050,東亜林業株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000050号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000028,株式会社小林秀商店,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000028号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000014,株式会社弘億開発,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000014号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000462,株式会社有正不動産 ※,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000462号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
RE-MLIT-34-00000134,青山建設株式会社,中国・四国,広島県,要確認,広島県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=34&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-16,公的登録確認・公式サイト要確認,B,免許行政庁: 広島県; 免許番号: 第000134号; 自動追加日: 2026-08-16,宅地建物取引業者,,,,,
